Rk,Player,Salary
1,Khris Middleton,33051724 
2,Giannis Antetokounmpo,27528088 
3,Jrue Holiday,25876111 
4,Brook Lopez,12697675 
5,P.J. Tucker,7969537 
6,Pat Connaughton,4938273 
7,Bobby Portis,3623000 
8,Jon Leuer,3169348 
9,Donte DiVincenzo,3044160 
10,Bryn Forbes,2337145 
11,Larry Sanders,1865546 
12,Rodions Kurucs,1780152 
13,Thanasis Antetokounmpo,1701593 
14,Sam Merrill,898310 
15,Jordan Nwora,898310 
16,Jeff Teague,510589 
17,Mamadi Diakite,160173 
18,Elijah Bryant,24611 
