Player,Team,Age,Position,Salary
Stephen Curry,GSW,30,G,34682550
Kevin Durant,GSW,29,F,25000000
Klay Thompson,GSW,28,G,17826150
Draymond Green,GSW,28,F,16400000
Andre Iguodala,GSW,34,F,14814815
Shaun Livingston,GSW,32,G,7692308
Nick Young,GSW,32,G,5192000
Zaza Pachulia,GSW,34,C,3477600
David West,GSW,37,C,2328652
JaVale McGee,GSW,30,C,2116955
Omri Casspi,GSW,29,F,2106470
Kevon Looney,GSW,22,C,1471382
Patrick McCaw,GSW,22,G,1312611
Damian Jones,GSW,22,C,1312611
Jordan Bell,GSW,23,C,815615
LeBron James,CLE,33,F,33285709
Kevin Love,CLE,29,C,22642350
George Hill,CLE,31,G,20000000
Tristan Thompson,CLE,27,C,16400000
J.R. Smith,CLE,32,G,13760000
Jordan Clarkson,CLE,25,G,11562500
Kyle Korver,CLE,37,G,7000000
Cedi Osman,CLE,22,F,2642857
Rodney Hood,CLE,25,G,2386864
Jose Calderon,CLE,36,G,2328652
Jeff Green,CLE,31,F,2116955
Ante Zizic,CLE,21,C,1645200
Larry Nance,CLE,25,C,1471382
Derrick Rose,CLE,29,G,1356709
Okaro White,CLE,25,F,74159
Marcus Thornton,CLE,25,G,46080
